fecha,n1,n2,n3,n4,n5,superbalota
12 de Marzo de 2025,17,20,26,27,42,1
8 de Marzo de 2025,1,17,33,42,43,12
8 de Marzo de 2025,3,5,6,33,42,4
5 de Marzo de 2025,11,17,18,26,42,13
5 de Marzo de 2025,8,14,19,37,43,6
1 de Marzo de 2025,3,4,17,21,25,4
1 de Marzo de 2025,7,21,26,32,40,12
26 de Febrero de 2025,7,28,29,33,43,2
26 de Febrero de 2025,2,8,19,21,43,9
22 de Febrero de 2025,3,13,19,34,43,12
22 de Febrero de 2025,7,12,19,33,38,8
19 de Febrero de 2025,14,21,28,30,38,14
19 de Febrero de 2025,6,8,32,35,39,3
15 de Febrero de 2025,8,15,17,24,42,11
15 de Febrero de 2025,1,13,27,35,41,10
12 de Febrero de 2025,1,16,30,39,41,15
12 de Febrero de 2025,4,5,7,25,32,4
8 de Febrero de 2025,2,9,10,39,43,14
8 de Febrero de 2025,4,10,12,27,40,9
5 de Febrero de 2025,5,11,14,37,38,14
5 de Febrero de 2025,4,7,16,18,43,2
1 de Febrero de 2025,2,4,5,28,33,12
1 de Febrero de 2025,5,6,19,32,37,16
29 de Enero de 2025,12,20,26,34,38,1
29 de Enero de 2025,7,12,33,36,39,10
25 de Enero de 2025,1,16,19,25,31,6
25 de Enero de 2025,10,26,37,40,42,5
22 de Enero de 2025,12,15,28,34,37,1
22 de Enero de 2025,4,15,23,27,34,13
18 de Enero de 2025,14,19,30,38,41,10
18 de Enero de 2025,1,6,7,20,41,2
15 de Enero de 2025,7,16,32,33,43,1
15 de Enero de 2025,13,22,25,32,35,10
11 de Enero de 2025,2,28,31,32,34,6
11 de Enero de 2025,9,15,23,28,39,7
8 de Enero de 2025,18,24,27,37,43,11
8 de Enero de 2025,1,5,28,36,38,5
4 de Enero de 2025,10,13,18,24,26,9
4 de Enero de 2025,16,34,36,37,40,12
1 de Enero de 2025,17,28,33,39,43,6
1 de Enero de 2025,11,16,18,37,40,16
28 de Diciembre de 2024,1,4,12,14,34,6
28 de Diciembre de 2024,2,4,22,24,32,10
25 de Diciembre de 2024,5,8,22,26,38,8
25 de Diciembre de 2024,4,19,28,32,39,13
21 de Diciembre de 2024,10,12,16,21,41,13
21 de Diciembre de 2024,11,13,27,28,43,15
18 de Diciembre de 2024,4,12,28,36,43,13
18 de Diciembre de 2024,9,10,15,26,28,2
14 de Diciembre de 2024,15,22,26,32,39,12
14 de Diciembre de 2024,19,25,32,34,41,9
11 de Diciembre de 2024,5,12,13,17,43,16
11 de Diciembre de 2024,10,12,18,22,40,4
7 de Diciembre de 2024,9,11,34,36,37,15
7 de Diciembre de 2024,5,10,15,21,22,12
4 de Diciembre de 2024,11,14,31,39,41,5
4 de Diciembre de 2024,7,10,16,31,36,10
30 de Noviembre de 2024,10,12,22,23,34,13
30 de Noviembre de 2024,3,12,14,19,28,9
27 de Noviembre de 2024,5,7,15,20,24,16
27 de Noviembre de 2024,10,21,22,36,40,14
23 de Noviembre de 2024,5,13,24,25,36,9
23 de Noviembre de 2024,7,13,15,33,34,8
20 de Noviembre de 2024,9,17,22,36,38,16
20 de Noviembre de 2024,11,12,19,21,32,3
16 de Noviembre de 2024,8,15,21,35,41,2
16 de Noviembre de 2024,1,23,32,36,40,13
13 de Noviembre de 2024,2,3,9,10,15,16
13 de Noviembre de 2024,1,5,25,29,31,12
9 de Noviembre de 2024,13,28,29,31,41,4
9 de Noviembre de 2024,7,20,24,33,40,6
6 de Noviembre de 2024,3,4,20,30,37,12
6 de Noviembre de 2024,6,15,24,28,31,10
2 de Noviembre de 2024,1,9,19,29,39,6
2 de Noviembre de 2024,10,24,36,40,42,11
30 de Octubre de 2024,6,14,15,29,42,14
30 de Octubre de 2024,6,25,33,42,43,10
